experiment,seed,n_steps,dt,mu,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,1,400,0.0017910268988048168,0.9977712695316271,0.020826889026260963
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,2,399,0.004165818514516779,0.9948194379264971,0.04025311434310011
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,5,396,0.009735925149642105,0.9879158631426576,0.0766477789763743
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,10,391,0.01650302990551777,0.9795809034292529,0.08137523684723166
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,20,381,0.02706017646915031,0.9667266002929993,0.08158317049732927
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,50,351,0.07998471132764529,0.9031899883960598,0.09674787530650235
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,100,301,0.15133189616600082,0.8126918541734324,0.07687495157866586
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,200,201,0.15999754440054115,0.7842431563648526,0.04930492535718282
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.001734266268032366,0.9978419017188327,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.003926591793834512,0.9951169374147288,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.00870910285862169,0.9891903451155717,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.014956431235481963,0.9814945003735989,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.027444602077158837,0.9662539076286534,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.07726258339606598,0.9064847335075861,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.13514006298559075,0.8327329844796889,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.177342863384891,0.7608529769097268,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.0017362026834766052,0.9978394920687582,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,2,399,0.003931097081649893,0.9951113346926935,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,5,396,0.008539431424906289,0.9894009396707152,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,10,391,0.013931895408392377,0.9827621521995547,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,20,381,0.023249415596115066,0.9714123409739907,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,50,351,0.061999625162709,0.9249583535176522,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,100,301,0.10626652793195486,0.8684706475327075,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,200,201,0.13219471169943112,0.8217353031986216,5.551115123125783e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,1,400,0.003844219350288438,0.9952163036753865,9.992007221626409e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,2,399,0.011886109778532158,0.9852185760600044,9.992007221626409e-16
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,5,396,0.05062233680179642,0.9371680413983177,1.3322676295501878e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,10,391,0.13940157691451233,0.8275192932795843,1.6653345369377348e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,20,381,0.32167525014395065,0.6044656550525009,2.4424906541753444e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,50,351,0.6439230969472236,0.2206235235113022,4.440892098500626e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,100,301,0.8394966326591745,-0.03907082164985565,7.105427357601002e-15
08_vanderpol_kahkm_projection_diagnostics,0,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,row_stochastic_free,200,201,1.0220309403489845,-0.37820971323865304,1.0880185641326534e-14
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,1,400,0.0014896559613020658,0.9981221637968385,0.019124350830139736
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,2,399,0.003322425468823496,0.9958145152065772,0.03603970615100953
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,5,396,0.007406065476152162,0.9906884864770283,0.06967711262762315
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,10,391,0.01255280967105293,0.9842705617162393,0.06873356002380918
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,20,381,0.02348464148073746,0.9707820535645417,0.06768718357993098
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,50,351,0.08415232770346553,0.8973259662626283,0.09609083195349803
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,100,301,0.17112533294933693,0.7879281598416767,0.10270194081867523
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_free,200,201,0.1620389557363508,0.779515379674195,0.07265307509337388
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,1,400,0.0014506633237554413,0.9981713172848545,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,2,399,0.00318530416038138,0.9959872562226584,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,5,396,0.006855941243595063,0.9913801478250497,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,10,391,0.011874068398391086,0.9851210660446523,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,20,381,0.02310259766950682,0.9712573657221358,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,50,351,0.0751283298972459,0.9083361222557774,6.661338147750939e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,100,301,0.141138570656259,0.8250900911015329,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_clip_renorm_each_step,200,201,0.1741341014605156,0.7630576482560981,4.440892098500626e-16
08_vanderpol_kahkm_projection_diagnostics,1,1600,0.02,1.0,0.75,1200,400,2,20,20,4,100,4.0,1e-06,0.1,20,raw_simplex_project_each_step,1,400,0.001451879195309739,0.9981697845768451,5.551115123125783e-16
