estimator,split,n_runs,closure_error_mean,closure_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,spectral_radius_mean,spectral_radius_max
nlms,test,3,5.737725136831163e-06,8.688887839951954e-06,0.9942355258207591,0.008306994910240048,2.2741122159921367e-05,4.4948241369699846e-05,0.9999999999999997,0.9999999999999999
nlms,train,3,0.0002490312382902692,5.1850863106720236e-05,0.998806090851743,0.00024152420328080496,0.0041861480881474344,0.005378938432127298,0.9999999999999997,0.9999999999999999
ols,test,3,6.686869536581172e-06,8.387003291758379e-06,0.9930494189560988,0.007791198630800709,0.000136589379051446,0.00022244025755738944,1.0000000000000002,1.0000000000000016
ols,train,3,0.0001891705569226015,5.390957083486493e-05,0.9990936209899668,0.0002487200094570756,0.003357296490907894,0.004179421556150297,1.0000000000000002,1.0000000000000016
ridge_0.0001,test,3,6.683736645612629e-06,8.384778835559142e-06,0.9930526367986322,0.0077892892804528185,0.00013645992158391318,0.0002230113476879325,0.9999997032923869,1.0000001436278436
ridge_0.0001,train,3,0.00018918968019184264,5.39078119763589e-05,0.9990935290527583,0.00024871253922198304,0.0033582761354459967,0.004181747144710902,0.9999997032923869,1.0000001436278436
ridge_0.01,test,3,1.6216205811915198e-05,1.2111411679018774e-05,0.9820335074589345,0.010005333731428936,0.00019551046197112873,0.000305770840639347,0.9999345459743064,0.9999436146633351
ridge_0.01,train,3,0.00029351413109011997,4.5292753626009064e-05,0.9985920308106208,0.00021809909284719597,0.0032581321039990637,0.0041143098160500565,0.9999345459743064,0.9999436146633351
ridge_1e-06,test,3,6.6868219902057464e-06,8.386974132924672e-06,0.9930494697006033,0.007791175182010114,0.0001365873343538962,0.00022244374060667122,0.9999999981225313,1.0000000031450647
ridge_1e-06,train,3,0.00018917055885074187,5.3909570657078044e-05,0.999093620980697,0.0002487200087015218,0.0033573065553740584,0.0041794452170308685,0.9999999981225313,1.0000000031450647
ridge_1e-08,test,3,6.686869059485004e-06,8.387002999471519e-06,0.9930494194654121,0.007791198395871638,0.00013658935860278815,0.00022244029238439097,0.9999999999813881,1.00000000003191
ridge_1e-08,train,3,0.00018917055692279437,5.390957083484713e-05,0.9990936209899659,0.00024872000945700816,0.0033572965915789153,0.004179421792799301,0.9999999999813881,1.00000000003191
ridge_1e-10,test,3,6.686869531809688e-06,8.38700328883455e-06,0.9930494189611924,0.0077911986284504246,0.00013658937884724706,0.00022244025790585064,0.9999999999998138,1.000000000000319
ridge_1e-10,train,3,0.0001891705569226015,5.390957083486485e-05,0.9990936209899668,0.0002487200094570756,0.003357296491914326,0.004179421558516421,0.9999999999998138,1.000000000000319
row_stochastic_nlms,test,3,3.0121072608174727e-05,1.622401079012895e-05,0.9641287961902082,0.017929285335033542,4.440892098500626e-16,4.440892098500626e-16,0.9999999999999994,1.0000000000000007
row_stochastic_nlms,train,3,0.0004729381023452285,5.970044394934797e-05,0.9977331784147238,0.00027200077394860084,5.551115123125783e-16,6.661338147750939e-16,0.9999999999999994,1.0000000000000007
