system,C,omega,n_runs,mean_Eh_mean,mean_Eh_std,E50_mean,E50_std,E100_mean,E100_std,E200_mean,E200_std,mean_Eh_formatted,E50_formatted,E100_formatted,E200_formatted
Duffing,10,2,3,1.187681239629641e-05,2.115640972019282e-06,1.016220932256724e-05,1.63897386194331e-06,1.76446193702004e-05,4.569372498643419e-06,3.071539741034544e-05,4.113917414124821e-06,(1.19 +/- 0.21) x 10^-5,(1.02 +/- 0.16) x 10^-5,(1.76 +/- 0.46) x 10^-5,(3.07 +/- 0.41) x 10^-5
Duffing,12,2,3,1.837462218704884e-05,6.093019546855437e-06,1.539350569622086e-05,4.20185519914939e-06,2.554468291003688e-05,7.98170989514522e-06,4.984115354214687e-05,1.794019058983373e-05,(1.84 +/- 0.61) x 10^-5,(1.54 +/- 0.42) x 10^-5,(2.55 +/- 0.80) x 10^-5,(4.98 +/- 1.79) x 10^-5
Duffing,8,6,3,2.181580696671305e-05,8.297360886750798e-06,2.57574501498254e-05,1.073926299332365e-05,3.502065035686567e-05,1.20532246770694e-05,4.513386196921243e-05,1.762345586281089e-05,(2.18 +/- 0.83) x 10^-5,(2.58 +/- 1.07) x 10^-5,(3.50 +/- 1.21) x 10^-5,(4.51 +/- 1.76) x 10^-5
Duffing,8,8,3,2.336859738861466e-05,1.051260775265116e-05,3.199489067145666e-05,1.552170312474543e-05,3.529982006203162e-05,1.215350645731723e-05,4.54434229739015e-05,2.404515453098955e-05,(2.34 +/- 1.05) x 10^-5,(3.20 +/- 1.55) x 10^-5,(3.53 +/- 1.22) x 10^-5,(4.54 +/- 2.40) x 10^-5
Duffing,10,4,3,2.404842804928986e-05,7.373251220456139e-06,2.626253583311574e-05,5.333856849310404e-06,3.410139403167019e-05,3.17073923971681e-06,5.727809744105996e-05,2.72234549516582e-05,(2.40 +/- 0.74) x 10^-5,(2.63 +/- 0.53) x 10^-5,(3.41 +/- 0.32) x 10^-5,(5.73 +/- 2.72) x 10^-5
Duffing,15,12,3,0.0002594662358712466,0.000155529149638194,0.0002596568555464949,0.0001583908570758695,0.0003127903194713489,0.0001792052117738423,0.0007003932375236793,0.0004233922639081533,(2.59 +/- 1.56) x 10^-4,(2.60 +/- 1.58) x 10^-4,(3.13 +/- 1.79) x 10^-4,(7.00 +/- 4.23) x 10^-4
Van der Pol,15,0.5,3,0.01931177773024743,0.000924349733402338,0.02766856978521742,0.001547329466259522,0.03158412161279504,0.000753196703120348,0.03142589389064383,0.001885208380931889,(1.93 +/- 0.09) x 10^-2,(2.77 +/- 0.15) x 10^-2,(3.16 +/- 0.08) x 10^-2,(3.14 +/- 0.19) x 10^-2
Van der Pol,10,0.5,3,0.02374544733638605,0.002537975990688147,0.02664485604228782,0.00110774679551216,0.0390638677585859,0.003544753641017113,0.04695753357131337,0.00738730679390897,(2.37 +/- 0.25) x 10^-2,(2.66 +/- 0.11) x 10^-2,(3.91 +/- 0.35) x 10^-2,(4.70 +/- 0.74) x 10^-2
Van der Pol,20,0.5,3,0.03028575939393235,0.0008861309754442767,0.04159687486332369,0.001879577841523821,0.05125878610400422,0.001151947042300905,0.05060667360204563,0.0009952310630897804,(3.03 +/- 0.09) x 10^-2,(4.16 +/- 0.19) x 10^-2,(5.13 +/- 0.12) x 10^-2,(5.06 +/- 0.10) x 10^-2
Van der Pol,10,1,3,0.03469031988168453,0.003970206638589881,0.04270704600943687,0.002906800056284786,0.0562488264393959,0.007237458090588256,0.06193798166232151,0.008831853642009382,(3.47 +/- 0.40) x 10^-2,(4.27 +/- 0.29) x 10^-2,(5.62 +/- 0.72) x 10^-2,(6.19 +/- 0.88) x 10^-2
Van der Pol,15,1,3,0.03854043972600726,0.002775168489869537,0.0468527547446626,0.002558408518305863,0.06385421312853913,0.003801698708705033,0.06874664695909125,0.005938562779675637,(3.85 +/- 0.28) x 10^-2,(4.69 +/- 0.26) x 10^-2,(6.39 +/- 0.38) x 10^-2,(6.87 +/- 0.59) x 10^-2
