attempt_index	job_id	C	omega	seed	status	exit_code	started_at_utc	ended_at_utc	duration_seconds	command	stdout_log	stdout_sha256	stderr_log	stderr_sha256	output_file_count	output_tree_sha256
1	C15_omega4p0_seed0	15	4.0	0	PASS	0	2026-09-23T07:10:30.291561+00:00	2026-09-23T07:10:33.673098+00:00	3.381495	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 4.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega4p0_seed0/output --strict --quiet	jobs/C15_omega4p0_seed0/stdout.log	3980c03b1ed23ce250c2d01802be7659e190bf991972fabc3d7b8aa6b568316c	jobs/C15_omega4p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	47ec2f93e9cd8693aeeb9c2029c55a3546d1adc58823fd6b8d79d1a6c0d245f8
2	C15_omega4p0_seed1	15	4.0	1	PASS	0	2026-09-23T07:10:33.674281+00:00	2026-09-23T07:10:35.000968+00:00	1.326669	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 4.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega4p0_seed1/output --strict --quiet	jobs/C15_omega4p0_seed1/stdout.log	ae11720bce9d62b85af287e088bc5d14606629891f363ed4dba8d2570138599c	jobs/C15_omega4p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	bd2f33e8b13d760f0ddb72bc7ec69d2fef6d3e72386c61816ecf9c826540aabb
3	C15_omega4p0_seed2	15	4.0	2	PASS	0	2026-09-23T07:10:35.002050+00:00	2026-09-23T07:10:36.294251+00:00	1.292187	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 4.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega4p0_seed2/output --strict --quiet	jobs/C15_omega4p0_seed2/stdout.log	5b158b6b5034d9d2863f8720bf79946e031cf83e1ef410bb52628b62181d321f	jobs/C15_omega4p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	d66d5049a2f3ae1c9eb825f95127ee7185baf6330cbdd95aceb93d8004291bd0
4	C15_omega8p0_seed0	15	8.0	0	PASS	0	2026-09-23T07:10:36.295766+00:00	2026-09-23T07:10:37.579174+00:00	1.283392	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 8.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega8p0_seed0/output --strict --quiet	jobs/C15_omega8p0_seed0/stdout.log	cdac85d818b5500c99e925f5b1e5e1d07c90b43ab643199ee265408a2abdfd49	jobs/C15_omega8p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	181ebdab1a381071e859ef97a244d13df3e84f5d34141b4fe421a4f30df55f12
5	C15_omega8p0_seed1	15	8.0	1	PASS	0	2026-09-23T07:10:37.580283+00:00	2026-09-23T07:10:38.872048+00:00	1.291752	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 8.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega8p0_seed1/output --strict --quiet	jobs/C15_omega8p0_seed1/stdout.log	c1edd864ab7fbbcf99c7525b849e29449a376b3563d0849d580b508459cc27ce	jobs/C15_omega8p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	204d707840ec7c3747fb5ddb4cb3f8043753243a6fae6028e8ae5925cc0c6648
6	C15_omega8p0_seed2	15	8.0	2	PASS	0	2026-09-23T07:10:38.873088+00:00	2026-09-23T07:10:40.202112+00:00	1.32901	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 8.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega8p0_seed2/output --strict --quiet	jobs/C15_omega8p0_seed2/stdout.log	0da2aed35c8c64b6f806fd49ba240bca0ac5fe5b60eaf7566bb3f52c5ef1573c	jobs/C15_omega8p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	5965961e21e2f4b97087b3ef14de58fc356be28b0ed5d5954f2bb423c131297a
7	C15_omega12p0_seed0	15	12.0	0	PASS	0	2026-09-23T07:10:40.203293+00:00	2026-09-23T07:10:41.488248+00:00	1.28494	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 12.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega12p0_seed0/output --strict --quiet	jobs/C15_omega12p0_seed0/stdout.log	88a39306007bb44403a07fcbe2a3abf8396f2edf0a0add2826cab881247bb812	jobs/C15_omega12p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	d3b0ce4645f4c5ffa2df05df1b9d09d9bb2a9ae36609dc952aee2615a90c6710
8	C15_omega12p0_seed1	15	12.0	1	PASS	0	2026-09-23T07:10:41.489336+00:00	2026-09-23T07:10:42.804073+00:00	1.314723	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 12.0 --seeds 1 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega12p0_seed1/output --strict --quiet	jobs/C15_omega12p0_seed1/stdout.log	62df96189749fe12dc169ae12429b33ab16913a3669c80ef30aff4cf8d15c29d	jobs/C15_omega12p0_seed1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	acf9461924e6894d35748488743e42904c1513fa54eac19d2ba510c80b9080e8
9	C15_omega12p0_seed2	15	12.0	2	PASS	0	2026-09-23T07:10:42.805254+00:00	2026-09-23T07:10:44.121191+00:00	1.315923	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 15 --omegas 12.0 --seeds 2 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C15_omega12p0_seed2/output --strict --quiet	jobs/C15_omega12p0_seed2/stdout.log	e927162ae4d30e663656c8ac88d9fe361b9eb92bae391607aa2ad263fc4e2bfb	jobs/C15_omega12p0_seed2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	8703762eebb6cc37e51c74ce98ab38e1d1a89c07a43e52c377bc6704e2c7e662
10	C25_omega4p0_seed0	25	4.0	0	PASS	0	2026-09-23T07:10:44.122401+00:00	2026-09-23T07:10:45.455751+00:00	1.333335	$PYTHON experiment_02_duffing_sensitivity.py --n-steps 1200 --dt 0.03 --data-seed 1 --train-fraction 0.75 --clusters 25 --omegas 4.0 --seeds 0 --subspace-dim 4 --nb 100 --tau 1e-06 --kmeans-kind auto --kmeans-batch-size 4096 --singleton-strategy augment --singleton-aux-mix 0.05 --beta 0.1 --nlms-epochs 20 --n-jobs 1 --batch-size 256 --output-dir jobs/C25_omega4p0_seed0/output --strict --quiet	jobs/C25_omega4p0_seed0/stdout.log	c2c343f97670b34f8475b0685abcfc40114aa968d0200a0bb3bad1fd548255a5	jobs/C25_omega4p0_seed0/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	3	85851b0b0b1ac89593d294def206841ad705a5091dd30b2a0387bb488688494d
