result_id	declared_reference	resolved_files	status	note
R01	kahkm_experiment_06_outputs/experiment_06_one_step_raw.csv	1	FOUND	-
R01	kahkm_experiment_06_outputs/experiment_06_multistep_raw.csv	1	FOUND	-
R01	kahkm_experiment_07_outputs/experiment_07_one_step_raw.csv	1	FOUND	-
R01	kahkm_experiment_07_outputs/experiment_07_multistep_raw.csv	1	FOUND	-
R02	kahkm_experiment_06_outputs/experiment_06_multistep_raw.csv	1	FOUND	-
R03	kahkm_experiment_07_outputs/experiment_07_multistep_raw.csv	1	FOUND	-
R04	kahkm_exp_duffing_tuning/experiment_duffing_tuning_raw.csv	1	FOUND	-
R04	kahkm_exp09_vanderpol_tuning/experiment_09_multistep_raw_results.csv	1	FOUND	-
R05	kahkm_table6_estimators/exp05_duffing_estimators/experiment_05_one_step_raw.csv	1	FOUND	-
R05	kahkm_table6_estimators/exp05_duffing_estimators/experiment_05_multistep_raw.csv	1	FOUND	-
R06	kahkm_table5_projection/exp04_duffing_projection/experiment_04_projection_raw_results.csv	1	FOUND	-
R06	kahkm_table5_projection/exp08_vanderpol_projection/experiment_08_projection_raw_results.csv	1	FOUND	-
R07	kahkm_exp12_vanderpol_noise_aware_tuning/experiment_12_noise_tuning_raw.csv	1	FOUND	-
R08	kahkm_experiment_12_outputs/experiment_12_multistep_raw_results.csv	1	FOUND	-
R09	kahkm_exp13_vanderpol_tuned_trajectory_generalization/experiment_13_tuned_trajectory_raw.csv	1	FOUND	-
R10	kahkm_experiment_14_outputs/experiment_14_test_raw_results.csv	1	FOUND	-
R11	kahkm_exp15_duffing_tuned_external_baselines/experiment_15_test_raw_results.csv	1	FOUND	-
R11	kahkm_exp15_vanderpol_tuned_external_baselines/experiment_15_test_raw_results.csv	1	FOUND	-
R12	kahkm_exp15_default_external_duffing/experiment_15_test_raw_results.csv	1	FOUND	-
R13	kahkm_exp15_default_external_vanderpol/experiment_15_test_raw_results.csv	1	FOUND	-
R14	kahkm_exp16_cartpole_tuned_seed0/experiment_16_multistep_results.csv	1	FOUND	-
R14	kahkm_exp16_cartpole_tuned_seed1/experiment_16_multistep_results.csv	1	FOUND	-
R14	kahkm_exp16_cartpole_tuned_seed2/experiment_16_multistep_results.csv	1	FOUND	-
R14	kahkm_exp16_mountaincar_tuned_seed0/experiment_16_multistep_results.csv	1	FOUND	-
R14	kahkm_exp16_mountaincar_tuned_seed1/experiment_16_multistep_results.csv	1	FOUND	-
R14	kahkm_exp16_mountaincar_tuned_seed2/experiment_16_multistep_results.csv	1	FOUND	-
R15	kahkm_experiment_16a_sensitivity_outputs/runs/	280	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed0/experiment_18_one_step_results.csv	1	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed1/experiment_18_one_step_results.csv	1	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed2/experiment_18_one_step_results.csv	1	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed0/experiment_18_multistep_summary.csv	1	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed1/experiment_18_multistep_summary.csv	1	FOUND	-
R16	kahkm_exp18_acrobot_selected_seed2/experiment_18_multistep_summary.csv	1	FOUND	-
R17	kahkm_exp17_cartpole_tuned_seed0/experiment_17_regime_statistics.csv	1	FOUND	-
R17	kahkm_exp17_mountaincar_tuned_seed0/experiment_17_regime_statistics.csv	1	FOUND	-
R17	kahkm_exp18_acrobot_selected_seed0/experiment_18_regime_statistics.csv	1	FOUND	-
R17	kahkm_exp18_acrobot_selected_seed1/experiment_18_regime_statistics.csv	1	FOUND	-
R17	kahkm_exp18_acrobot_selected_seed2/experiment_18_regime_statistics.csv	1	FOUND	-
R18	kahkm_exp17_mountaincar_tuned_seed0/experiment_17_regime_statistics.csv	1	FOUND	-
R18	kahkm_exp17_mountaincar_tuned_seed0/experiment_17_model_summary.csv	1	FOUND	-
R19	kahkm_exp18_acrobot_selected_seed0/experiment_18_regime_statistics.csv	1	FOUND	-
R19	kahkm_exp18_acrobot_selected_seed0/experiment_18_model_summary.csv	1	FOUND	-
R20	kahkm_exp18_acrobot_selected_seed0/experiment_18_regime_statistics.csv	1	FOUND	-
R20	kahkm_exp18_acrobot_selected_seed0/experiment_18_model_summary.csv	1	FOUND	-
R21	kahkm_experiment_19_residual_verified_spectra/experiment_19_mode_residuals.csv	1	FOUND	-
R21	kahkm_experiment_19_residual_verified_spectra/experiment_19_duffing_subsample_indices.npz	1	FOUND	-
R21	kahkm_experiment_19_residual_verified_spectra/experiment_19_vanderpol_subsample_indices.npz	1	FOUND	-
R22	kahkm_experiment_19_residual_verified_spectra/experiment_19_mode_residuals.csv	1	FOUND	-
R22	kahkm_experiment_19_residual_verified_spectra/experiment_19_duffing_subsample_indices.npz	1	FOUND	-
R22	kahkm_experiment_19_residual_verified_spectra/experiment_19_vanderpol_subsample_indices.npz	1	FOUND	-
R23		0	NO_FILE_REFERENCE	protocol generated from version-controlled runner defaults and archived search metadata
