supporting_result_ids	top_level	basename	file_count	total_rows	path_C	path_omega	path_seed	row_key_values_json	sample_path
R04	kahkm_exp09_vanderpol_tuning	experiment_09_multistep_raw_results.csv	1	735				"{""horizon"":[""1"",""10"",""50"",""100"",""200""],""n_clusters"":[""10"",""15"",""20"",""25"",""30"",""40"",""50""],""omega"":[""0.5"",""1.0"",""2.0"",""4.0"",""6.0"",""8.0"",""12.0""],""seed"":[""0"",""1"",""2""]}"	kahkm_exp09_vanderpol_tuning/experiment_09_multistep_raw_results.csv
R04	kahkm_exp_duffing_tuning	experiment_duffing_tuning_raw.csv	1	960				"{""horizon"":[""1"",""10"",""50"",""100"",""200""],""n_clusters"":[""8"",""10"",""12"",""15"",""20"",""25"",""30"",""40""],""omega"":[""2.0"",""4.0"",""6.0"",""8.0"",""10.0"",""12.0"",""16.0"",""20.0""],""seed"":[""0"",""1"",""2""]}"	kahkm_exp_duffing_tuning/experiment_duffing_tuning_raw.csv
R07	kahkm_exp12_vanderpol_noise_aware_tuning	experiment_12_noise_tuning_raw.csv	1	2250				"{""horizon"":[""1"",""10"",""50"",""100"",""200""],""n_clusters"":[""10"",""15"",""20"",""25"",""30"",""40""],""noise_level"":[""0.0"",""0.005"",""0.01"",""0.02"",""0.05""],""omega"":[""0.25"",""0.5"",""1.0"",""2.0"",""4.0""],""seed"":[""0"",""1"",""2""]}"	kahkm_exp12_vanderpol_noise_aware_tuning/experiment_12_noise_tuning_raw.csv
R09	kahkm_exp13_vanderpol_tuned_trajectory_generalization	experiment_13_tuned_trajectory_raw.csv	1	450				"{""horizon"":[""1"",""10"",""50"",""100"",""200""],""n_clusters"":[""10"",""15"",""20""],""omega"":[""0.25"",""0.5"",""4.0""],""replicate"":[""0"",""1"",""2""]}"	kahkm_exp13_vanderpol_tuned_trajectory_generalization/experiment_13_tuned_trajectory_raw.csv
R15	kahkm_experiment_16a_sensitivity_outputs	experiment_16_fit_summary.csv	56	56	10,15,20,30,50,80,100	2.0,4.0,8.0,12.0		"{""n_clusters"":[""10"",""15"",""20"",""30"",""50"",""80"",""100""],""omega"":[""2.0"",""4.0"",""8.0"",""12.0""],""task"":[""CartPole-v1"",""MountainCar-v0""]}"	kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_fit_summary.csv
R15	kahkm_experiment_16a_sensitivity_outputs	experiment_16_metadata.json	56	0	10,15,20,30,50,80,100	2.0,4.0,8.0,12.0		{}	kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_metadata.json
R15	kahkm_experiment_16a_sensitivity_outputs	experiment_16_multistep_results.csv	56	2240	10,15,20,30,50,80,100	2.0,4.0,8.0,12.0		"{""horizon"":[""1"",""5"",""10"",""20"",""50""],""task"":[""CartPole-v1"",""MountainCar-v0""]}"	kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_multistep_results.csv
R15	kahkm_experiment_16a_sensitivity_outputs	experiment_16_multistep_summary.csv	56	2240	10,15,20,30,50,80,100	2.0,4.0,8.0,12.0		"{""horizon"":[""1"",""5"",""10"",""20"",""50""],""task"":[""CartPole-v1"",""MountainCar-v0""]}"	kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_multistep_summary.csv
R15	kahkm_experiment_16a_sensitivity_outputs	experiment_16_one_step_results.csv	56	392	10,15,20,30,50,80,100	2.0,4.0,8.0,12.0		"{""task"":[""CartPole-v1"",""MountainCar-v0""]}"	kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_one_step_results.csv
R16	kahkm_exp18_acrobot_selected_seed0	experiment_18_multistep_summary.csv	1	40			0	"{""horizon"":[""1"",""5"",""10"",""20"",""50""],""n_clusters"":[""150""],""omega"":[""0.5""],""task"":[""Acrobot-v1""]}"	kahkm_exp18_acrobot_selected_seed0/experiment_18_multistep_summary.csv
