path	supporting_result_ids	suffix	bytes	sha256	row_count	columns	run_key_values_json
kahkm_exp09_vanderpol_tuning/experiment_09_multistep_raw_results.csv	R04	.csv	101887	fc7016e8e18013fdfbc52a14ceed08cc431ceb05d439ab5797f14ce0a3051efe	735	experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""n_clusters"":[""10"",""15"",""20"",""25"",""30"",""40"",""50""],""omega"":[""0.5"",""1.0"",""12.0"",""2.0"",""4.0"",""6.0"",""8.0""],""seed"":[""0"",""1"",""2""]}"
kahkm_exp12_vanderpol_noise_aware_tuning/experiment_12_noise_tuning_raw.csv	R07	.csv	322335	b10eb0fbb64212f1a60d2a7c4111daefd1eaacbcf4831038fa309a63ea45d808	2250	n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""n_clusters"":[""10"",""15"",""20"",""25"",""30"",""40""],""noise_level"":[""0.0"",""0.005"",""0.01"",""0.02"",""0.05""],""omega"":[""0.25"",""0.5"",""1.0"",""2.0"",""4.0""],""seed"":[""0"",""1"",""2""]}"
kahkm_exp13_vanderpol_tuned_trajectory_generalization/experiment_13_tuned_trajectory_raw.csv	R09	.csv	81738	80c24dafa16e7e2ac22df0f3d6805c98cdb10e58b91b7984e37ca8a1d7f2e736	450	config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""n_clusters"":[""10"",""15"",""20""],""omega"":[""0.25"",""0.5"",""4.0""],""replicate"":[""0"",""1"",""2""],""test_seeds"":[""100 101 102""],""train_seeds"":[""0"",""0 1"",""0 1 2"",""0 1 2 3 4"",""0 1 2 3 4 5 6 7"",""1000"",""1000 1001"",""1000 1001 1002"",""1000 1001 1002 1003 1004"",""1000 1001 1002 1003 1004 1005 1006 1007"",""2000"",""2000 2001"",""2000 2001 2002"",""2000 2001 2002 2003 2004"",""2000 2001 2002 2003 2004 2005 2006 2007""]}"
kahkm_exp15_default_external_duffing/experiment_15_test_raw_results.csv	R12	.csv	7302	7bd23d460f1339355eef21780875439ac121d9162fc4699e98ffee28cce2cf62	60	system,method,train_seeds_used,test_seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,state_relative_error	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""method"":[""kahkm_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""system"":[""duffing""],""test_seed"":[""100"",""101"",""102""],""train_seeds_used"":[""0 1 2""]}"
kahkm_exp15_default_external_vanderpol/experiment_15_test_raw_results.csv	R13	.csv	7349	e4d8273b0d258cb551c233360e42928200ef33c619fe372c952dd5151c5cf349	60	system,method,train_seeds_used,test_seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,state_relative_error	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""method"":[""kahkm_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""system"":[""vanderpol""],""test_seed"":[""100"",""101"",""102""],""train_seeds_used"":[""0 1 2""]}"
kahkm_exp15_duffing_tuned_external_baselines/experiment_15_test_raw_results.csv	R11	.csv	7348	dc4564386acfb290d2dc5485aca48616340ca4587e393afc64122ee3db4037bf	60	system,method,train_seeds_used,test_seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,state_relative_error	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""method"":[""kahkm_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""system"":[""duffing""],""test_seed"":[""100"",""101"",""102""],""train_seeds_used"":[""0 1 2""]}"
kahkm_exp15_vanderpol_tuned_external_baselines/experiment_15_test_raw_results.csv	R11	.csv	7420	8cf7dea5e8e037bf1702099354213815e01328d2a0c3f36648f231fb7e1027c2	60	system,method,train_seeds_used,test_seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,state_relative_error	"{""horizon"":[""1"",""10"",""100"",""200"",""50""],""method"":[""kahkm_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""system"":[""vanderpol""],""test_seed"":[""100"",""101"",""102""],""train_seeds_used"":[""0 1 2""]}"
kahkm_exp16_cartpole_tuned_seed0/experiment_16_multistep_results.csv	R14	.csv	4908	2395eaa323221a9212b29b02cbddff307f1327dd9d8524f2b7e9c8b715940683	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_exp16_cartpole_tuned_seed1/experiment_16_multistep_results.csv	R14	.csv	4888	2fa24ebec435c42ae1374400ef000763a0024eb4693af6d086e1892bf4a323cf	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_exp16_cartpole_tuned_seed2/experiment_16_multistep_results.csv	R14	.csv	4902	af567f6dd36b3825718917ae99a2a53c90af9bcd02763a6ae4944f5e292c24e8	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
